STATION_NM,STATION_ID,lon,lat
서호전기,209000139,126.94205,37.38655
호계2동자율방범대앞,209000140,126.9462833,37.38586667
호계2동자율방범대앞,209000141,126.94635,37.38591667
효성아파트,209000187,126.9472833,37.38508333
효성아파트,209000188,126.94755,37.38495
신도브래뉴아파트,209000189,126.9478333,37.38416667
신도브래뉴아파트,209000190,126.9480167,37.38401667
안양농수산물시장,209000191,126.9702,37.38246667
초원대원아파트,209000192,126.96705,37.38765
서조레스텔,208506940,126.8955333,37.39668333
안양도시농업체험농장,208506900,126.88515,37.38873333
안양도시농업체험농장,208507230,126.8847833,37.3887
관동교장,208508330,126.8829333,37.3872
LS타워(마을),209508810,126.9471,37.37298333
서조레스텔,208506930,126.89475,37.39625
