NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,lon,lat
"2080017300","103","-","1",시스템노드,126.91662389,37.40793521
"2090019200","103","-","0",,126.94118482,37.39563037
"2090021000","101","-","0",,126.93914182,37.39812831
"2090018400","101",덕천교,"1",,126.93914886,37.39443121
"2080018900","101","-","0",,126.91438361,37.41060534
"2080008500","101",덕천교,"1",,126.93838014,37.39383568
"2090018100","101","-","0",,126.96124117,37.39383906
"2090003002","101","-","1",,126.97500307,37.39343793
"2090002100","101","-","1",,126.97240317,37.38396309
"2090001600","101",계원대사거리,"1",,126.97142186,37.38030118
"2090001300","101","-","1",,126.97076639,37.37935928
"2090000900","101",호계광장사거리,"1",,126.96476682,37.37266450
"2090000800","101","-","1",,126.96325907,37.37220187
"2090000801","103","-","1",시스템노드,126.96187514,37.37153293
"2090000502","103","-","0",,126.95540692,37.36957143
"2090000500","104",호계고가도로,"0",,126.95458704,37.36933650
"2090000501","101","-","0",,126.95419045,37.36925918
"2090000400","101",유통단지사거리,"1",,126.95333398,37.36900162
"2090000300","104",호계고가도로,"0",,126.95149498,37.36798528
"2090000100","101",경향아파트삼거리,"1",,126.95857773,37.36470509
"2090001000","101","-","1",,126.95583576,37.37691818
"2090001100","101",신기사거리,"1",,126.95508307,37.37824343
"2090001800","101",호계2동사거리,"1",,126.95337904,37.38157350
"2090001900","101",방죽사거리,"1",,126.95274686,37.38275121
"2090002400","104",평촌지하차도,"0",,126.97257448,37.38602231
"2090002401","101","-","1",,126.97288110,37.38845293
"2090000700","104",호계지하차도,"0",,126.95780848,37.37161265
"2090000200","104",호계지하차도,"0",,126.95819357,37.36752903
"2090000600","101",호계사거리,"0",,126.95790598,37.37029443
"2090000601","101","-","0",,126.95802529,37.36913499
"2090002600","104",범계지하차도,"0",,126.95023539,37.38721268
"2090017700","101","-","0",,126.97973979,37.39347128
"2090015500","101","-","0",,126.97065642,37.39096146
"2090013900","101","-","1",,126.96970432,37.38827206
"2090015400","101","-","0",,126.96663601,37.39093940
"2090013700","101","-","1",,126.96834886,37.38790043
"2090016200","101","-","0",,126.96935573,37.39176025
"2090017400","101","-","0",,126.96915111,37.39338046
"2090017500","101","-","0",,126.97099110,37.39338759
"2090015700","101","-","1",,126.95096192,37.39108559
"2090015200","101","-","1",,126.95620954,37.39054225
"2090014800","103","-","0",,126.96436082,37.39015131
"2090014700","101","-","1",,126.94927120,37.38999378
"2090014100","103","-","0",,126.95991454,37.38862759
"2090013600","101","-","1",,126.95766007,37.38785465
"2090016000","101","-","1",,126.95904889,37.39152443
"2090014000","103","-","0",,126.95934951,37.38843387
"2090014200","101","-","1",,126.95206089,37.38912353
"2090016400","101","-","1",,126.96071451,37.39210012
"2090015800","101","-","1",,126.95798564,37.39115621
"2090014400","101","-","1",,126.96217439,37.38939846
"2090016100","101","-","1",,126.95064423,37.39171456
"2090016600","101","-","1",,126.96200451,37.39253137
"2090017200","101","-","1",,126.95480748,37.39314003
"2090017100","101","-","0",,126.95691204,37.39313575
"2090016700","101","-","0",,126.95011592,37.39264540
"2090016500","101",시청사거리,"1",,126.95516732,37.39252940
"2090016800","101","-","1",,126.96038857,37.39266106
"2090017600","101","-","1",,126.96002442,37.39341731
"2090017300","101","-","1",,126.96382189,37.39317837
"2090017000","101","-","0",,126.96165354,37.39309378
"2090015600","101","-","0",,126.97541586,37.39106934
"2090003000","104",평촌지하차도,"0",,126.97386967,37.39081815
"2090003001","101","-","1",,126.97409114,37.39132987
"2090013100","101","-","1",,126.96222870,37.38601278
"2090013200","101",학교앞사거리,"0",,126.95352073,37.38641234
"2090013300","101","-","1",,126.96374470,37.38648940
"2090013000","103","-","1",시스템노드,126.96005545,37.38532821
"2090012700","101",이수교차로,"1",,126.95833354,37.38475318
"2090012200","101","-","0",,126.96260539,37.38396865
"2090012500","101","-","0",,126.96318889,37.38419918
"2090012000","103","-","0",시스템노드,126.96083801,37.38387912
"2090012100","101","-","1",,126.96905295,37.38396256
"2090012600","101",주공아파트사거리,"1",,126.96469773,37.38471306
"2090012400","101","-","0",,126.95639810,37.38405715
"2090012800","101","-","1",,126.95919339,37.38505087
"2090009100","103","-","0",시스템노드,126.95921970,37.37965550
"2090006800","103","-","0",시스템노드,126.95182420,37.37006465
"2090008300","101","-","0",,126.96719726,37.37817353
"2090008200","101","-","0",,126.96772536,37.37791024
"2090007900","101","-","0",,126.96695895,37.37690431
"2090008600","101","-","0",,126.96599645,37.37876437
"2090007600","101","-","0",,126.96621482,37.37593371
"2090008500","101","-","0",,126.95608064,37.37836068
"2090008900","101","-","0",,126.95680032,37.37922018
"2090008000","101","-","0",,126.96526186,37.37770462
"2090008800","101","-","1",,126.95744976,37.37920396
"2090008400","101","-","0",,126.95996207,37.37834665
"2090007700","101","-","1",,126.96292648,37.37620865
"2090007800","101","-","0",,126.96444576,37.37675006
"2090008100","101","-","0",,126.95421679,37.37790390
"2090008700","101","-","1",,126.96190061,37.37881809
"2090007500","101","-","1",,126.96327442,37.37558465
"2090007300","101","-","0",,126.96402751,37.37422415
"2090007400","101","-","0",,126.96173636,37.37504746
"2090007200","101","-","0",,126.96242036,37.37372584
"2090006700","101",구군포사거리,"0",,126.95475482,37.36796049
"2090007000","103","-","0",,126.95394289,37.37215262
"2090011900","101","-","1",,126.95998833,37.38359471
"2090011700","101","-","0",,126.95912217,37.38328331
"2090011500","101","-","0",,126.95721786,37.38263946
"2090011400","103","-","0",시스템노드,126.96167439,37.38235943
"2090011600","101","-","1",,126.96582048,37.38264696
"2090010400","101","-","0",,126.96935148,37.38117868
"2090010200","101","-","0",,126.96918101,37.38086100
"2090010000","101","-","0",,126.96992142,37.38078631
"2090010700","101","-","1",,126.96754726,37.38158500
"2090009800","101","-","0",,126.96703561,37.38063831
"2090009600","101","-","0",,126.96811686,37.38030724
"2090010500","101","-","1",,126.96865117,37.38122440
"2090011100","101","-","0",,126.96610557,37.38188412
"2090011000","101","-","0",,126.96666148,37.38180534
"2090009700","101","-","0",,126.95996132,37.38052918
"2090009400","101","-","0",,126.96025298,37.38008156
"2090010800","101","-","0",,126.96002754,37.38164793
"2090011200","101","-","1",,126.96085626,37.38198971
"2090010300","101","-","1",,126.96145457,37.38088534
"2090010900","101","-","1",,126.96347845,37.38166159
"2090010600","102","-","0",,126.95892970,37.38127065
"2090009300","103","-","0",시스템노드,126.95869270,37.38000224
"2090009900","103","-","0",시스템노드,126.96051129,37.38073428
"2090011800","101","-","1",,126.95504211,37.38358625
"2090017800","101","-","1",,126.95797439,37.39350243
"2090017900","101","-","0",,126.96513457,37.39360334
"2090006300","101","-","1",,126.97485079,37.40328271
"2090006500","101",농협앞 삼거리,"0",,126.96607348,37.40460003
"2090006201","101","-","1",,126.96085639,37.40375018
"2090006200","101",봉천동 3거리,"1",,126.95703970,37.40305165
"2090005901","103","-","0",시스템노드,126.95219586,37.40216746
"2090005900","101","-","1",,126.95009533,37.40176824
"2090003902","101",인덕원교,"0",,126.97675551,37.39748081
"2090003901","101",인덕원교,"1",,126.97644748,37.39689278
"2090003900","101",인덕원교 앞 삼거리,"1",,126.97627395,37.39657565
"2090006001","103","-","1",시스템노드,126.97859992,37.40024028
"2090006000","101",인덕원사거리,"1",,126.97662486,37.40217359
"2090023800","101","-","1",,126.97082132,37.40239590
"2090018700","101","-","1",,126.98094561,37.39511234
"2090026800","103","-","0",시스템노드,126.95060632,37.40889106
"2090026900","103","-","0",시스템노드,126.95081679,37.41067309
"2090020400","101","-","0",,126.96862157,37.39754237
"2090019500","101","-","1",,126.96881570,37.39601278
"2090023400","101",동안교,"0",,126.96651739,37.40221318
"2090023500","101",현대정형외과사거리/관양교,"0",,126.97064176,37.40225784
"2090022800","101",현대정형외과사거리/관양교,"0",,126.97041654,37.40156100
"2090024300","101",동안교,"0",,126.96630607,37.40290546
"2090023000","101",대학교,"1",,126.96138798,37.40203106
"2090022500","101",대학교,"0",,126.96142504,37.40132384
"2090022200","101","-","0",,126.94963607,37.40094256
"2090027000","102",석수전화국사거리,"0",,126.95170336,37.41299493
"2090020700","103","-","0",,126.96094314,37.39777978
"2090024700","101","-","0",,126.95174589,37.40373853
"2090021800","103","-","0",,126.95663464,37.39992225
"2090020500","103","-","0",,126.95518454,37.39756718
"2090018600","101","-","1",,126.95929951,37.39470175
"2090021900","104",내비산교,"0",,126.95090398,37.40034828
"2090019400","101","-","0",,126.96242270,37.39576587
"2090019100","101","-","1",,126.96401992,37.39555481
"2090022000","103","-","0",,126.95388857,37.40040249
"2090026300","101",안양운동장삼거리,"0",,126.95008976,37.40651859
"2090024600","101",현대아파트입구삼거리,"0",,126.95721754,37.40372725
"2090019300","101","-","1",,126.95880251,37.39563553
"2090020000","101","-","0",,126.96158023,37.39661696
"2090018800","101","-","0",,126.96055895,37.39512681
"2090018900","101","-","1",,126.96275251,37.39515075
"2090019600","103","-","0",,126.95076707,37.39604984
"2090020200","101","-","0",,126.96301682,37.39710556
"2090019700","101","-","1",,126.96363295,37.39617149
"2090021200","101","-","0",,126.96225517,37.39825893
